Name,Attack,Health,Level,Ability,Packs,Tier
Ant,2,2,1,Faint → Give one random friend +1  attack and +1  health.,['Turtle Pack'],Tier 1 Pets
Ant,2,2,2,Faint → Give one random friend +2  attack and +2  health.,['Turtle Pack'],Tier 1 Pets
Ant,2,2,2,Faint → Give one random friend +2  attack and +2  health.,['Turtle Pack'],Tier 1 Pets
Beaver,3,2,1,Sell → Give two random friends +1  attack.,"['Turtle Pack', 'Puppy Pack']",Tier 1 Pets
Beaver,3,2,2,Sell → Give two random friends +2  attack.,"['Turtle Pack', 'Puppy Pack']",Tier 1 Pets
Beaver,3,2,2,Sell → Give two random friends +2  attack.,"['Turtle Pack', 'Puppy Pack']",Tier 1 Pets
Cricket,1,3,1,Faint → Summon one 1/1  Zombie Cricket.,['Turtle Pack'],Tier 1 Pets
Cricket,1,3,2,Faint → Summon one 2/2  Zombie Cricket.,['Turtle Pack'],Tier 1 Pets
Cricket,1,3,2,Faint → Summon one 2/2  Zombie Cricket.,['Turtle Pack'],Tier 1 Pets
Duck,2,3,1,Sell → Give shop pets +1  health.,"['Turtle Pack', 'Puppy Pack']",Tier 1 Pets
Duck,2,3,2,Sell → Give shop pets +2  health.,"['Turtle Pack', 'Puppy Pack']",Tier 1 Pets
Duck,2,3,2,Sell → Give shop pets +2  health.,"['Turtle Pack', 'Puppy Pack']",Tier 1 Pets
Fish,2,3,1,Level up → Give two friends +1  attack and +1  health.,['Turtle Pack'],Tier 1 Pets
Fish,2,3,2,Level up → Give two friends +2  attack and +2  health.,['Turtle Pack'],Tier 1 Pets
Fish,2,3,2,Level up → Give two friends +2  attack and +2  health.,['Turtle Pack'],Tier 1 Pets
Horse,2,1,1,Friend summoned → Give it +1  attack until end of battle.,['Turtle Pack'],Tier 1 Pets
Horse,2,1,2,Friend summoned → Give it +2  attack until end of battle.,['Turtle Pack'],Tier 1 Pets
Horse,2,1,2,Friend summoned → Give it +2  attack until end of battle.,['Turtle Pack'],Tier 1 Pets
Mosquito,2,2,1,Start of battle → Deal 1  damage to one random enemy.,['Turtle Pack'],Tier 1 Pets
Mosquito,2,2,2,Start of battle → Deal 1  damage to two random enemies.,['Turtle Pack'],Tier 1 Pets
Mosquito,2,2,2,Start of battle → Deal 1  damage to two random enemies.,['Turtle Pack'],Tier 1 Pets
Otter,1,3,1,Buy → Give one random friend +1  health.,['Turtle Pack'],Tier 1 Pets
Otter,1,3,2,Buy → Give two random friends +1  health.,['Turtle Pack'],Tier 1 Pets
Otter,1,3,2,Buy → Give two random friends +1  health.,['Turtle Pack'],Tier 1 Pets
Pig,4,1,1,Sell → Gain +1  gold.,['Turtle Pack'],Tier 1 Pets
Pig,4,1,2,Sell → Gain +2  gold.,['Turtle Pack'],Tier 1 Pets
Pig,4,1,2,Sell → Gain +2  gold.,['Turtle Pack'],Tier 1 Pets
Pigeon,3,1,1,Sell → Stock one free  Bread Crumbs.,['Turtle Pack'],Tier 1 Pets
Pigeon,3,1,2,Sell → Stock two free  Bread Crumbs.,['Turtle Pack'],Tier 1 Pets
Pigeon,3,1,2,Sell → Stock two free  Bread Crumbs.,['Turtle Pack'],Tier 1 Pets
Baku,3,2,1,"End turn → If turn number is even, replace ailment on one random friend with +1  health.",['Unicorn Pack'],Tier 1 Pets
Baku,3,2,2,"End turn → If turn number is even, replace ailment on one random friend with +2  health.",['Unicorn Pack'],Tier 1 Pets
Baku,3,2,2,"End turn → If turn number is even, replace ailment on one random friend with +2  health.",['Unicorn Pack'],Tier 1 Pets
Axehandle Hound,3,1,1,"Before attack → If the opponent has duplicates, deal 2  damage to all enemies. Works 1 time per battle.",['Unicorn Pack'],Tier 1 Pets
Axehandle Hound,3,1,2,"Before attack → If the opponent has duplicates, deal 4  damage to all enemies. Works 1 time per battle.",['Unicorn Pack'],Tier 1 Pets
Axehandle Hound,3,1,2,"Before attack → If the opponent has duplicates, deal 4  damage to all enemies. Works 1 time per battle.",['Unicorn Pack'],Tier 1 Pets
Barghest,1,3,1,Start of battle → Make the last perk-less enemy  Spooked.,['Unicorn Pack'],Tier 1 Pets
Barghest,1,3,2,Start of battle → Make the two last perk-less enemies  Spooked.,['Unicorn Pack'],Tier 1 Pets
Barghest,1,3,2,Start of battle → Make the two last perk-less enemies  Spooked.,['Unicorn Pack'],Tier 1 Pets
Tsuchinoko,1,2,1,Start of battle → Jump to the front space and gain +1  experience.,['Unicorn Pack'],Tier 1 Pets
Tsuchinoko,1,2,2,Start of battle → Jump to the front space and gain +2  experience.,['Unicorn Pack'],Tier 1 Pets
Tsuchinoko,1,2,2,Start of battle → Jump to the front space and gain +2  experience.,['Unicorn Pack'],Tier 1 Pets
Murmel,1,2,1,Friend gained experience → Gain +1  attack until next turn.,['Unicorn Pack'],Tier 1 Pets
Murmel,1,2,2,Friend gained experience → Gain +2  attack until next turn.,['Unicorn Pack'],Tier 1 Pets
Murmel,1,2,2,Friend gained experience → Gain +2  attack until next turn.,['Unicorn Pack'],Tier 1 Pets
Alchemedes,1,4,1,Start of battle → Give the nearest friend ahead +1  mana.,['Unicorn Pack'],Tier 1 Pets
Alchemedes,1,4,2,Start of battle → Give the nearest friend ahead +2  mana.,['Unicorn Pack'],Tier 1 Pets
Alchemedes,1,4,2,Start of battle → Give the nearest friend ahead +2  mana.,['Unicorn Pack'],Tier 1 Pets
Warf,2,2,1,Gains mana → Deal 1  damage to one random enemy.,['Unicorn Pack'],Tier 1 Pets
Warf,2,2,2,Gains mana → Deal 2  damage to one random enemy.,['Unicorn Pack'],Tier 1 Pets
Warf,2,2,2,Gains mana → Deal 2  damage to one random enemy.,['Unicorn Pack'],Tier 1 Pets
Bunyip,3,1,1,"Start of battle → Gain +1  health for each time you rolled this turn, up to 3.",['Unicorn Pack'],Tier 1 Pets
Bunyip,3,1,2,"Start of battle → Gain +2  health for each time you rolled this turn, up to 3.",['Unicorn Pack'],Tier 1 Pets
Bunyip,3,1,2,"Start of battle → Gain +2  health for each time you rolled this turn, up to 3.",['Unicorn Pack'],Tier 1 Pets
Sneaky Egg,2,4,1,Start of battle → Faint and summon one 4/2  Cracked Egg.,['Unicorn Pack'],Tier 1 Pets
Sneaky Egg,2,4,2,Start of battle → Faint and summon one 8/4  Cracked Egg.,['Unicorn Pack'],Tier 1 Pets
Sneaky Egg,2,4,2,Start of battle → Faint and summon one 8/4  Cracked Egg.,['Unicorn Pack'],Tier 1 Pets
Cuddle Toad,2,3,1,Sell → Choose one witch toy that breaks after 2 turns.,['Unicorn Pack'],Tier 1 Pets
Cuddle Toad,2,3,2,Sell → Choose one witch toy that breaks after 4 turns.,['Unicorn Pack'],Tier 1 Pets
Cuddle Toad,2,3,2,Sell → Choose one witch toy that breaks after 4 turns.,['Unicorn Pack'],Tier 1 Pets
Basilisk,2,1,1,Start of battle → Transform the nearest pet ahead to a  Rock with +2  health.,['Unicorn Pack'],Tier 1 Pets
Basilisk,2,1,2,Start of battle → Transform the nearest pet ahead to a  Rock with +4  health.,['Unicorn Pack'],Tier 1 Pets
Basilisk,2,1,2,Start of battle → Transform the nearest pet ahead to a  Rock with +4  health.,['Unicorn Pack'],Tier 1 Pets
Pengobble,1,4,1,Gains mana → Gain 1 bonus  mana. Works 3 times per turn.,['Unicorn Pack'],Tier 1 Pets
Pengobble,1,4,2,Gains mana → Gain 2 bonus  mana. Works 3 times per turn.,['Unicorn Pack'],Tier 1 Pets
Pengobble,1,4,2,Gains mana → Gain 2 bonus  mana. Works 3 times per turn.,['Unicorn Pack'],Tier 1 Pets
Bulldog,1,3,1,After attack → Set  attack equal to  health +1.,['Golden Pack'],Tier 1 Pets
Bulldog,1,3,2,After attack → Set  attack equal to  health +2.,['Golden Pack'],Tier 1 Pets
Bulldog,1,3,2,After attack → Set  attack equal to  health +2.,['Golden Pack'],Tier 1 Pets
Chipmunk,3,2,1,Sell → Stock one free copy of this pet's food perk.,"['Golden Pack', 'Puppy Pack']",Tier 1 Pets
Chipmunk,3,2,2,Sell → Stock two free copies of this pet's food perk.,"['Golden Pack', 'Puppy Pack']",Tier 1 Pets
Chipmunk,3,2,2,Sell → Stock two free copies of this pet's food perk.,"['Golden Pack', 'Puppy Pack']",Tier 1 Pets
Groundhog,2,1,1,Faint → Gain +1  Trumpet.,['Golden Pack'],Tier 1 Pets
Groundhog,2,1,2,Faint → Gain +2  Trumpets.,['Golden Pack'],Tier 1 Pets
Groundhog,2,1,2,Faint → Gain +2  Trumpets.,['Golden Pack'],Tier 1 Pets
Cone Snail,1,2,1,Start of battle → Give the nearest friend behind +2  health.,['Golden Pack'],Tier 1 Pets
Cone Snail,1,2,2,Start of battle → Give the nearest friend behind +4  health.,['Golden Pack'],Tier 1 Pets
Cone Snail,1,2,2,Start of battle → Give the nearest friend behind +4  health.,['Golden Pack'],Tier 1 Pets
Goose,2,2,1,Start of battle → Remove 1  attack from the first enemy.,['Golden Pack'],Tier 1 Pets
Goose,2,2,2,Start of battle → Remove 2  attack from the first enemy.,['Golden Pack'],Tier 1 Pets
Goose,2,2,2,Start of battle → Remove 2  attack from the first enemy.,['Golden Pack'],Tier 1 Pets
Pied Tamarin,1,2,1,Faint → Spend 1  Trumpet to deal 3  damage to one random enemy.,['Golden Pack'],Tier 1 Pets
Pied Tamarin,1,2,2,Faint → Spend 1  Trumpet to deal 3  damage to two random enemies.,['Golden Pack'],Tier 1 Pets
Pied Tamarin,1,2,2,Faint → Spend 1  Trumpet to deal 3  damage to two random enemies.,['Golden Pack'],Tier 1 Pets
Opossum,2,3,1,Sell → Give one random Faint pet in the shop +1  attack and +1  health.,['Golden Pack'],Tier 1 Pets
Opossum,2,3,2,Sell → Give one random Faint pet in the shop +2  attack and +2  health.,['Golden Pack'],Tier 1 Pets
Opossum,2,3,2,Sell → Give one random Faint pet in the shop +2  attack and +2  health.,['Golden Pack'],Tier 1 Pets
Silkmoth,3,1,1,Friend ahead hurt → Give it +1  health. Works 2 times per turn.,['Golden Pack'],Tier 1 Pets
Silkmoth,3,1,2,Friend ahead hurt → Give it +2  health. Works 2 times per turn.,['Golden Pack'],Tier 1 Pets
Silkmoth,3,1,2,Friend ahead hurt → Give it +2  health. Works 2 times per turn.,['Golden Pack'],Tier 1 Pets
Magpie,1,4,1,End turn → Spend up to 1  gold and gain it back next turn.,['Golden Pack'],Tier 1 Pets
Magpie,1,4,2,End turn → Spend up to 2  gold and gain it back next turn.,['Golden Pack'],Tier 1 Pets
Magpie,1,4,2,End turn → Spend up to 2  gold and gain it back next turn.,['Golden Pack'],Tier 1 Pets
Chihuahua,4,1,1,Start of battle → Push the most healthy enemy one space forward.,['Star Pack'],Tier 1 Pets
Chihuahua,4,1,2,Start of battle → Push the most healthy enemy two spaces forward.,['Star Pack'],Tier 1 Pets
Chihuahua,4,1,2,Start of battle → Push the most healthy enemy two spaces forward.,['Star Pack'],Tier 1 Pets
Cockroach,1,1,1,Faint → Summon one 1/1  Cooked Roach and give it +1  experience,['Star Pack'],Tier 1 Pets
Cockroach,1,1,2,Faint → Summon one 1/1  Cooked Roach and give it +2  experience,['Star Pack'],Tier 1 Pets
Cockroach,1,1,2,Faint → Summon one 1/1  Cooked Roach and give it +2  experience,['Star Pack'],Tier 1 Pets
Firefly,2,2,1,Faint → Deal 1 damage to ALL pets within one space.,['Star Pack'],Tier 1 Pets
Firefly,2,2,2,Faint → Deal 1 damage to ALL pets within two spaces.,['Star Pack'],Tier 1 Pets
Firefly,2,2,2,Faint → Deal 1 damage to ALL pets within two spaces.,['Star Pack'],Tier 1 Pets
Frog,3,2,1,"Sell → If adjacent friends are tier 2 or lower, swap their stats.",['Star Pack'],Tier 1 Pets
Frog,3,2,2,"Sell → If adjacent friends are tier 4 or lower, swap their stats.",['Star Pack'],Tier 1 Pets
Frog,3,2,2,"Sell → If adjacent friends are tier 4 or lower, swap their stats.",['Star Pack'],Tier 1 Pets
Hummingbird,3,1,1,Start of battle → Give  Strawberry perk to the nearest friend ahead.,['Star Pack'],Tier 1 Pets
Hummingbird,3,1,2,Start of battle → Give  Strawberry perk to the two nearest friends ahead.,['Star Pack'],Tier 1 Pets
Hummingbird,3,1,2,Start of battle → Give  Strawberry perk to the two nearest friends ahead.,['Star Pack'],Tier 1 Pets
Kiwi,1,4,1,Hurt & Sell → Give one random  Strawberry friend +1  attack,['Star Pack'],Tier 1 Pets
Kiwi,1,4,2,Hurt & Sell → Give one random  Strawberry friend +2  attack,['Star Pack'],Tier 1 Pets
Kiwi,1,4,2,Hurt & Sell → Give one random  Strawberry friend +2  attack,['Star Pack'],Tier 1 Pets
Marmoset,2,3,1,Sell → Your next roll is free.,"['Star Pack', 'Weekly Pack']",Tier 1 Pets
Marmoset,2,3,2,Sell → Your next two rolls are free.,"['Star Pack', 'Weekly Pack']",Tier 1 Pets
Marmoset,2,3,2,Sell → Your next two rolls are free.,"['Star Pack', 'Weekly Pack']",Tier 1 Pets
Mouse,1,2,1,Sell → Replace shop food with one free  Apple.,['Star Pack'],Tier 1 Pets
Mouse,1,2,2,Sell → Replace shop food with one free  Better Apple.,['Star Pack'],Tier 1 Pets
Mouse,1,2,2,Sell → Replace shop food with one free  Better Apple.,['Star Pack'],Tier 1 Pets
Pillbug,2,2,1,Sell → Stock one free  Sleeping Pill.,['Star Pack'],Tier 1 Pets
Pillbug,2,2,2,Sell → Stock two free  Sleeping Pills.,['Star Pack'],Tier 1 Pets
Pillbug,2,2,2,Sell → Stock two free  Sleeping Pills.,['Star Pack'],Tier 1 Pets
Duckling,1,2,1,Sell → Give left-most shop pet +2  health.,['Star Pack'],Tier 1 Pets
Duckling,1,2,2,Sell → Give left-most shop pet +4  health.,['Star Pack'],Tier 1 Pets
Duckling,1,2,2,Sell → Give left-most shop pet +4  health.,['Star Pack'],Tier 1 Pets
Gibbon,2,2,1,Shop tier upgraded → Give the two nearest pets behind +1  health.,['Star Pack'],Tier 1 Pets
Gibbon,2,2,2,Shop tier upgraded → Give the two nearest pets behind +2  health.,['Star Pack'],Tier 1 Pets
Gibbon,2,2,2,Shop tier upgraded → Give the two nearest pets behind +2  health.,['Star Pack'],Tier 1 Pets
Termite,1,4,1,Start of turn → Set  attack to the current shop tier + 1.,['Star Pack'],Tier 1 Pets
Termite,1,4,2,Start of turn → Set  attack to the current shop tier + 2.,['Star Pack'],Tier 1 Pets
Termite,1,4,2,Start of turn → Set  attack to the current shop tier + 2.,['Star Pack'],Tier 1 Pets
Beetle,1,2,1,Start of battle → Gain  Honey Perk.,['Puppy Pack'],Tier 1 Pets
Beetle,1,2,2,Start of battle → Gain  Meat Bone Perk.,['Puppy Pack'],Tier 1 Pets
Beetle,1,2,2,Start of battle → Gain  Meat Bone Perk.,['Puppy Pack'],Tier 1 Pets
Bluebird,2,1,1,End turn → Give one random friend +1  attack.,['Puppy Pack'],Tier 1 Pets
Bluebird,2,1,2,End turn → Give one random friend +2  attack.,['Puppy Pack'],Tier 1 Pets
Bluebird,2,1,2,End turn → Give one random friend +2  attack.,['Puppy Pack'],Tier 1 Pets
Chinchilla,2,2,1,Sell → Summon one 2/2 level 1  Loyal Chinchilla.,"['Puppy Pack', 'Weekly Pack']",Tier 1 Pets
Chinchilla,2,2,2,Sell → Summon one 4/4 level 2  Loyal Chinchilla.,"['Puppy Pack', 'Weekly Pack']",Tier 1 Pets
Chinchilla,2,2,2,Sell → Summon one 4/4 level 2  Loyal Chinchilla.,"['Puppy Pack', 'Weekly Pack']",Tier 1 Pets
Ferret,2,1,1,Buy → Choose one level 1 toy from tier 1.,['Puppy Pack'],Tier 1 Pets
Ferret,2,1,2,Buy → Choose one level 2 toy from tier 1.,['Puppy Pack'],Tier 1 Pets
Ferret,2,1,2,Buy → Choose one level 2 toy from tier 1.,['Puppy Pack'],Tier 1 Pets
Gecko,3,1,1,"Start of battle → If you have a toy, gain +2  health.",['Puppy Pack'],Tier 1 Pets
Gecko,3,1,2,"Start of battle → If you have a toy, gain +4  health.",['Puppy Pack'],Tier 1 Pets
Gecko,3,1,2,"Start of battle → If you have a toy, gain +4  health.",['Puppy Pack'],Tier 1 Pets
Ladybug,1,3,1,Friend gained perk → Gain +2  attack until end of battle.,['Puppy Pack'],Tier 1 Pets
Ladybug,1,3,2,Friend gained perk → Gain +4  attack until end of battle.,['Puppy Pack'],Tier 1 Pets
Ladybug,1,3,2,Friend gained perk → Gain +4  attack until end of battle.,['Puppy Pack'],Tier 1 Pets
Moth,1,3,1,Start of battle → Give front-most friendly pet +2  attack.,"['Puppy Pack', 'Weekly Pack']",Tier 1 Pets
Moth,1,3,2,Start of battle → Give front-most friendly pet +4  attack.,"['Puppy Pack', 'Weekly Pack']",Tier 1 Pets
Moth,1,3,2,Start of battle → Give front-most friendly pet +4  attack.,"['Puppy Pack', 'Weekly Pack']",Tier 1 Pets
Frilled Dragon,1,1,1,Start of battle → Gain +1  attack and +1  health per friend with a Faint ability.,['Weekly Pack'],Tier 1 Pets
Frilled Dragon,1,1,2,Start of battle → Gain +2  attack and +2  health per friend with a Faint ability.,['Weekly Pack'],Tier 1 Pets
Frilled Dragon,1,1,2,Start of battle → Gain +2  attack and +2  health per friend with a Faint ability.,['Weekly Pack'],Tier 1 Pets
Budgie,1,1,1,Start of battle → Gain the  Popcorn perk and +1  health.,['Weekly Pack'],Tier 1 Pets
Budgie,1,1,2,Start of battle → Gain the  Popcorn perk and +2  health.,['Weekly Pack'],Tier 1 Pets
Budgie,1,1,2,Start of battle → Gain the  Popcorn perk and +2  health.,['Weekly Pack'],Tier 1 Pets
Farmer Mouse,2,3,1,Faint → Feed one  Corncob to the nearest friend behind.,['Weekly Pack'],Tier 1 Pets
Farmer Mouse,2,3,2,Faint → Feed one  Corncob to the nearest two friends behind.,['Weekly Pack'],Tier 1 Pets
Farmer Mouse,2,3,2,Faint → Feed one  Corncob to the nearest two friends behind.,['Weekly Pack'],Tier 1 Pets
Weevil,2,2,1,Friendly ate food → Give them +1  attack until next turn. Works three times per turn.,['Weekly Pack'],Tier 1 Pets
Weevil,2,2,2,Friendly ate food → Give them +2  attack until next turn. Works three times per turn.,['Weekly Pack'],Tier 1 Pets
Weevil,2,2,2,Friendly ate food → Give them +2  attack until next turn. Works three times per turn.,['Weekly Pack'],Tier 1 Pets
Sloth,1,1,1,"""Sloth has no special ability. Is kind of lame combat-wise. But he truly believes in you!""","['Turtle Pack', 'Unicorn Pack', 'Golden Pack', 'Star Pack', 'Puppy Pack']",Tier 1 Pets
Sloth,1,1,2,"""Sloth has no special ability. Is kind of lame combat-wise. But he truly believes in you!""","['Turtle Pack', 'Unicorn Pack', 'Golden Pack', 'Star Pack', 'Puppy Pack']",Tier 1 Pets
Sloth,1,1,2,"""Sloth has no special ability. Is kind of lame combat-wise. But he truly believes in you!""","['Turtle Pack', 'Unicorn Pack', 'Golden Pack', 'Star Pack', 'Puppy Pack']",Tier 1 Pets
Crab,4,1,1,Start of battle → Copy 50% of  health from the most healthy friend.,['Turtle Pack'],Tier 2 Pets
Crab,4,1,2,Start of battle → Copy 100% of  health from the most healthy friend.,['Turtle Pack'],Tier 2 Pets
Crab,4,1,2,Start of battle → Copy 100% of  health from the most healthy friend.,['Turtle Pack'],Tier 2 Pets
Flamingo,3,2,1,Faint → Give the two nearest friends behind +1  attack and +1  health.,['Turtle Pack'],Tier 2 Pets
Flamingo,3,2,2,Faint → Give the two nearest friends behind +2  attack and +2  health.,['Turtle Pack'],Tier 2 Pets
Flamingo,3,2,2,Faint → Give the two nearest friends behind +2  attack and +2  health.,['Turtle Pack'],Tier 2 Pets
Hedgehog,4,2,1,Faint → Deal 2  damage to all.,['Turtle Pack'],Tier 2 Pets
Hedgehog,4,2,2,Faint → Deal 4  damage to all.,['Turtle Pack'],Tier 2 Pets
Hedgehog,4,2,2,Faint → Deal 4  damage to all.,['Turtle Pack'],Tier 2 Pets
Kangaroo,2,3,1,Friend ahead attacks → Gain +1  attack and +1  health.,['Turtle Pack'],Tier 2 Pets
Kangaroo,2,3,2,Friend ahead attacks → Gain +2  attack and +2  health.,['Turtle Pack'],Tier 2 Pets
Kangaroo,2,3,2,Friend ahead attacks → Gain +2  attack and +2  health.,['Turtle Pack'],Tier 2 Pets
Peacock,2,5,1,Hurt → Gain +4  attack.,['Turtle Pack'],Tier 2 Pets
Peacock,2,5,2,Hurt → Gain +8  attack.,['Turtle Pack'],Tier 2 Pets
Peacock,2,5,2,Hurt → Gain +8  attack.,['Turtle Pack'],Tier 2 Pets
Rat,3,6,1,Faint → Summon one 1/1  Dirty Rat up front for the opponent.,['Turtle Pack'],Tier 2 Pets
Rat,3,6,2,Faint → Summon two 1/1  Dirty Rats up front for the opponent.,['Turtle Pack'],Tier 2 Pets
Rat,3,6,2,Faint → Summon two 1/1  Dirty Rats up front for the opponent.,['Turtle Pack'],Tier 2 Pets
Snail,2,2,1,"End turn → If you lost last battle, give friends +1  health.",['Turtle Pack'],Tier 2 Pets
Snail,2,2,2,"End turn → If you lost last battle, give friends +2  health.",['Turtle Pack'],Tier 2 Pets
Snail,2,2,2,"End turn → If you lost last battle, give friends +2  health.",['Turtle Pack'],Tier 2 Pets
Spider,2,2,1,Faint → Summon one level 1 tier 3 pet as a 2/2.,['Turtle Pack'],Tier 2 Pets
Spider,2,2,2,Faint → Summon one level 2 tier 3 pet as a 4/4.,['Turtle Pack'],Tier 2 Pets
Spider,2,2,2,Faint → Summon one level 2 tier 3 pet as a 4/4.,['Turtle Pack'],Tier 2 Pets
Swan,1,2,1,Start of turn → Gain +1  gold.,['Turtle Pack'],Tier 2 Pets
Swan,1,2,2,Start of turn → Gain +2  gold.,['Turtle Pack'],Tier 2 Pets
Swan,1,2,2,Start of turn → Gain +2  gold.,['Turtle Pack'],Tier 2 Pets
Worm,1,3,1,Start of turn → Stock one 2-gold  Apple.,['Turtle Pack'],Tier 2 Pets
